Step,colorful-cherry-71 - FID Score,colorful-cherry-71 - FID Score__MIN,colorful-cherry-71 - FID Score__MAX,peach-shadow-70 - FID Score,peach-shadow-70 - FID Score__MIN,peach-shadow-70 - FID Score__MAX,jumping-shadow-69 - FID Score,jumping-shadow-69 - FID Score__MIN,jumping-shadow-69 - FID Score__MAX,whole-disco-68 - FID Score,whole-disco-68 - FID Score__MIN,whole-disco-68 - FID Score__MAX,fragrant-mountain-67 - FID Score,fragrant-mountain-67 - FID Score__MIN,fragrant-mountain-67 - FID Score__MAX,ancient-microwave-66 - FID Score,ancient-microwave-66 - FID Score__MIN,ancient-microwave-66 - FID Score__MAX,efficient-universe-65 - FID Score,efficient-universe-65 - FID Score__MIN,efficient-universe-65 - FID Score__MAX,usual-bird-64 - FID Score,usual-bird-64 - FID Score__MIN,usual-bird-64 - FID Score__MAX,neat-voice-63 - FID Score,neat-voice-63 - FID Score__MIN,neat-voice-63 - FID Score__MAX,pretty-aardvark-62 - FID Score,pretty-aardvark-62 - FID Score__MIN,pretty-aardvark-62 - FID Score__MAX
0,138.37058719817122,138.37058719817122,138.37058719817122,156.88385531568764,156.88385531568764,156.88385531568764,142.45742036271173,142.45742036271173,142.45742036271173,171.3461600552523,171.3461600552523,171.3461600552523,137.98781770343712,137.98781770343712,137.98781770343712,202.03410122269088,202.03410122269088,202.03410122269088,137.8264334024976,137.8264334024976,137.8264334024976,157.14006747477995,157.14006747477995,157.14006747477995,174.36996521498412,174.36996521498412,174.36996521498412,160.11038386236203,160.11038386236203,160.11038386236203
1,107.56032066787753,107.56032066787753,107.56032066787753,113.88937965160292,113.88937965160292,113.88937965160292,108.50500224401026,108.50500224401026,108.50500224401026,121.26810638953577,121.26810638953577,121.26810638953577,110.15386997297581,110.15386997297581,110.15386997297581,110.8286230543008,110.8286230543008,110.8286230543008,109.08733144185389,109.08733144185389,109.08733144185389,138.3743643599201,138.3743643599201,138.3743643599201,101.76094148815628,101.76094148815628,101.76094148815628,102.86960431988891,102.86960431988891,102.86960431988891
2,102.88087486735711,102.88087486735711,102.88087486735711,93.68543794134905,93.68543794134905,93.68543794134905,91.84297499340605,91.84297499340605,91.84297499340605,90.26036155559191,90.26036155559191,90.26036155559191,99.80443274956467,99.80443274956467,99.80443274956467,99.89383957527009,99.89383957527009,99.89383957527009,96.8247907866841,96.8247907866841,96.8247907866841,103.67382478254103,103.67382478254103,103.67382478254103,90.88232766955362,90.88232766955362,90.88232766955362,90.96785544374478,90.96785544374478,90.96785544374478
3,93.94797599147724,93.94797599147724,93.94797599147724,93.21039739627915,93.21039739627915,93.21039739627915,95.97367871578852,95.97367871578852,95.97367871578852,95.13832879788754,95.13832879788754,95.13832879788754,93.19469568014017,93.19469568014017,93.19469568014017,98.15670479935416,98.15670479935416,98.15670479935416,93.31847516844005,93.31847516844005,93.31847516844005,88.58027194207106,88.58027194207106,88.58027194207106,95.74957648662696,95.74957648662696,95.74957648662696,97.09191237585316,97.09191237585316,97.09191237585316
4,87.41766704241675,87.41766704241675,87.41766704241675,94.2460130308291,94.2460130308291,94.2460130308291,89.01230889814371,89.01230889814371,89.01230889814371,91.92721595651723,91.92721595651723,91.92721595651723,91.3701638243326,91.3701638243326,91.3701638243326,87.46184381047405,87.46184381047405,87.46184381047405,94.28072754291074,94.28072754291074,94.28072754291074,85.17902099158522,85.17902099158522,85.17902099158522,90.81552520214134,90.81552520214134,90.81552520214134,92.15562839025701,92.15562839025701,92.15562839025701
5,84.5691203412523,84.5691203412523,84.5691203412523,87.5611418371877,87.5611418371877,87.5611418371877,85.38814656948189,85.38814656948189,85.38814656948189,86.32437718078455,86.32437718078455,86.32437718078455,85.97257122074438,85.97257122074438,85.97257122074438,89.07281917934259,89.07281917934259,89.07281917934259,86.98629745493999,86.98629745493999,86.98629745493999,89.20608754786088,89.20608754786088,89.20608754786088,85.8725919424096,85.8725919424096,85.8725919424096,86.56747823826986,86.56747823826986,86.56747823826986
6,86.04948293514607,86.04948293514607,86.04948293514607,83.50472683284968,83.50472683284968,83.50472683284968,86.89532128630123,86.89532128630123,86.89532128630123,83.82640620298771,83.82640620298771,83.82640620298771,85.15907748738694,85.15907748738694,85.15907748738694,86.4956584598992,86.4956584598992,86.4956584598992,79.07581828598343,79.07581828598343,79.07581828598343,83.89553544582833,83.89553544582833,83.89553544582833,82.53448213319425,82.53448213319425,82.53448213319425,86.21993916908879,86.21993916908879,86.21993916908879
7,84.61177656501718,84.61177656501718,84.61177656501718,88.73811314165346,88.73811314165346,88.73811314165346,82.7971343485829,82.7971343485829,82.7971343485829,82.5867907480384,82.5867907480384,82.5867907480384,85.3638149785544,85.3638149785544,85.3638149785544,78.28382419750176,78.28382419750176,78.28382419750176,79.87672825435736,79.87672825435736,79.87672825435736,85.31862647314921,85.31862647314921,85.31862647314921,83.89689434859676,83.89689434859676,83.89689434859676,85.21543198180484,85.21543198180484,85.21543198180484
8,81.83743791862435,81.83743791862435,81.83743791862435,83.32968947424743,83.32968947424743,83.32968947424743,81.22200256722574,81.22200256722574,81.22200256722574,82.10358362816001,82.10358362816001,82.10358362816001,82.75892907559168,82.75892907559168,82.75892907559168,82.11144370218008,82.11144370218008,82.11144370218008,81.88806025347701,81.88806025347701,81.88806025347701,85.55537549828907,85.55537549828907,85.55537549828907,86.53273451892369,86.53273451892369,86.53273451892369,87.93931969192406,87.93931969192406,87.93931969192406
9,85.88121749175704,85.88121749175704,85.88121749175704,81.28491184564913,81.28491184564913,81.28491184564913,82.82910634544788,82.82910634544788,82.82910634544788,84.92848282608563,84.92848282608563,84.92848282608563,85.7040102138875,85.7040102138875,85.7040102138875,82.82386920875629,82.82386920875629,82.82386920875629,78.58593491083971,78.58593491083971,78.58593491083971,78.0801198024417,78.0801198024417,78.0801198024417,87.52814917010781,87.52814917010781,87.52814917010781,91.75517316868084,91.75517316868084,91.75517316868084
