Step,crisp-monkey-10 - FID Score,crisp-monkey-10 - FID Score__MIN,crisp-monkey-10 - FID Score__MAX,ethereal-firefly-9 - FID Score,ethereal-firefly-9 - FID Score__MIN,ethereal-firefly-9 - FID Score__MAX,smart-river-8 - FID Score,smart-river-8 - FID Score__MIN,smart-river-8 - FID Score__MAX,charmed-snow-7 - FID Score,charmed-snow-7 - FID Score__MIN,charmed-snow-7 - FID Score__MAX,iconic-rain-6 - FID Score,iconic-rain-6 - FID Score__MIN,iconic-rain-6 - FID Score__MAX,leafy-smoke-5 - FID Score,leafy-smoke-5 - FID Score__MIN,leafy-smoke-5 - FID Score__MAX,youthful-firefly-4 - FID Score,youthful-firefly-4 - FID Score__MIN,youthful-firefly-4 - FID Score__MAX,expert-haze-3 - FID Score,expert-haze-3 - FID Score__MIN,expert-haze-3 - FID Score__MAX,desert-disco-2 - FID Score,desert-disco-2 - FID Score__MIN,desert-disco-2 - FID Score__MAX,charmed-blaze-1 - FID Score,charmed-blaze-1 - FID Score__MIN,charmed-blaze-1 - FID Score__MAX
0,113.25066595391722,113.25066595391722,113.25066595391722,118.99328203390627,118.99328203390627,118.99328203390627,120.12652694337773,120.12652694337773,120.12652694337773,112.90056190116029,112.90056190116029,112.90056190116029,111.30745793778075,111.30745793778075,111.30745793778075,116.81752199368998,116.81752199368998,116.81752199368998,121.48607331607224,121.48607331607224,121.48607331607224,120.3034541992651,120.3034541992651,120.3034541992651,118.49959250881334,118.49959250881334,118.49959250881334,115.75937991871422,115.75937991871422,115.75937991871422
1,98.37181637233087,98.37181637233087,98.37181637233087,94.96140294779713,94.96140294779713,94.96140294779713,94.94070884635492,94.94070884635492,94.94070884635492,97.14426482718855,97.14426482718855,97.14426482718855,103.42232481706257,103.42232481706257,103.42232481706257,99.15958959089242,99.15958959089242,99.15958959089242,101.98571872991333,101.98571872991333,101.98571872991333,98.22549901218618,98.22549901218618,98.22549901218618,98.80596584748787,98.80596584748787,98.80596584748787,95.17504921956254,95.17504921956254,95.17504921956254
2,95.80340304943545,95.80340304943545,95.80340304943545,95.66731219981513,95.66731219981513,95.66731219981513,93.03333057799904,93.03333057799904,93.03333057799904,95.87320541720773,95.87320541720773,95.87320541720773,91.71756754504989,91.71756754504989,91.71756754504989,92.77860990811976,92.77860990811976,92.77860990811976,94.06075528105752,94.06075528105752,94.06075528105752,93.98973964403218,93.98973964403218,93.98973964403218,96.45650248002906,96.45650248002906,96.45650248002906,93.7365571845522,93.7365571845522,93.7365571845522
3,87.38248811701865,87.38248811701865,87.38248811701865,90.77750427862516,90.77750427862516,90.77750427862516,88.32523623586388,88.32523623586388,88.32523623586388,93.42451653327728,93.42451653327728,93.42451653327728,91.18113794409184,91.18113794409184,91.18113794409184,91.04365229205874,91.04365229205874,91.04365229205874,89.82088306336706,89.82088306336706,89.82088306336706,87.38971693972907,87.38971693972907,87.38971693972907,92.8961967914876,92.8961967914876,92.8961967914876,86.81968383822642,86.81968383822642,86.81968383822642
4,84.06457746808758,84.06457746808758,84.06457746808758,86.85364747606314,86.85364747606314,86.85364747606314,86.92395816661875,86.92395816661875,86.92395816661875,86.79943786932142,86.79943786932142,86.79943786932142,89.76276865901664,89.76276865901664,89.76276865901664,83.98377396439525,83.98377396439525,83.98377396439525,83.28569156969303,83.28569156969303,83.28569156969303,85.76440578728739,85.76440578728739,85.76440578728739,87.38803982947071,87.38803982947071,87.38803982947071,84.80958581609605,84.80958581609605,84.80958581609605
5,80.64230938616669,80.64230938616669,80.64230938616669,84.75883433935454,84.75883433935454,84.75883433935454,80.81198801615056,80.81198801615056,80.81198801615056,84.71137962405675,84.71137962405675,84.71137962405675,85.04804585524965,85.04804585524965,85.04804585524965,86.31195209643582,86.31195209643582,86.31195209643582,81.69513906211527,81.69513906211527,81.69513906211527,83.76735233498333,83.76735233498333,83.76735233498333,82.56433438251318,82.56433438251318,82.56433438251318,87.61895719403623,87.61895719403623,87.61895719403623
6,79.55607604850726,79.55607604850726,79.55607604850726,78.97246268003609,78.97246268003609,78.97246268003609,80.42584702198695,80.42584702198695,80.42584702198695,80.38773562068498,80.38773562068498,80.38773562068498,81.45760446304345,81.45760446304345,81.45760446304345,82.92986692738225,82.92986692738225,82.92986692738225,81.7413312363033,81.7413312363033,81.7413312363033,81.72011335808249,81.72011335808249,81.72011335808249,82.2559994732999,82.2559994732999,82.2559994732999,83.29556296854678,83.29556296854678,83.29556296854678
7,78.4337963055207,78.4337963055207,78.4337963055207,80.96911538356719,80.96911538356719,80.96911538356719,78.4589631950299,78.4589631950299,78.4589631950299,85.90311770891475,85.90311770891475,85.90311770891475,80.27647064732622,80.27647064732622,80.27647064732622,79.82926865514247,79.82926865514247,79.82926865514247,80.08113125998759,80.08113125998759,80.08113125998759,85.99853375595796,85.99853375595796,85.99853375595796,80.90704168458747,80.90704168458747,80.90704168458747,81.35467822391249,81.35467822391249,81.35467822391249
8,81.67689222986913,81.67689222986913,81.67689222986913,80.85652385309255,80.85652385309255,80.85652385309255,80.20556224527255,80.20556224527255,80.20556224527255,82.6227027949375,82.6227027949375,82.6227027949375,81.95922903392412,81.95922903392412,81.95922903392412,80.0553449150791,80.0553449150791,80.0553449150791,79.28627984091852,79.28627984091852,79.28627984091852,86.68420539026681,86.68420539026681,86.68420539026681,84.777567841056,84.777567841056,84.777567841056,80.38941933083719,80.38941933083719,80.38941933083719
9,80.10434915492999,80.10434915492999,80.10434915492999,77.97880040008586,77.97880040008586,77.97880040008586,79.62159953726137,79.62159953726137,79.62159953726137,85.66336920439849,85.66336920439849,85.66336920439849,77.90201258229409,77.90201258229409,77.90201258229409,79.7263007679593,79.7263007679593,79.7263007679593,82.50423361584708,82.50423361584708,82.50423361584708,85.32825084719276,85.32825084719276,85.32825084719276,85.19587072503401,85.19587072503401,85.19587072503401,80.99848970136674,80.99848970136674,80.99848970136674
