Step,giddy-wind-27 - FID Score,giddy-wind-27 - FID Score__MIN,giddy-wind-27 - FID Score__MAX,spring-frost-26 - FID Score,spring-frost-26 - FID Score__MIN,spring-frost-26 - FID Score__MAX,absurd-sky-25 - FID Score,absurd-sky-25 - FID Score__MIN,absurd-sky-25 - FID Score__MAX,jolly-hill-24 - FID Score,jolly-hill-24 - FID Score__MIN,jolly-hill-24 - FID Score__MAX,blooming-deluge-23 - FID Score,blooming-deluge-23 - FID Score__MIN,blooming-deluge-23 - FID Score__MAX,magic-glade-22 - FID Score,magic-glade-22 - FID Score__MIN,magic-glade-22 - FID Score__MAX,devout-forest-21 - FID Score,devout-forest-21 - FID Score__MIN,devout-forest-21 - FID Score__MAX,clear-brook-20 - FID Score,clear-brook-20 - FID Score__MIN,clear-brook-20 - FID Score__MAX,easy-bird-19 - FID Score,easy-bird-19 - FID Score__MIN,easy-bird-19 - FID Score__MAX,wise-plasma-18 - FID Score,wise-plasma-18 - FID Score__MIN,wise-plasma-18 - FID Score__MAX
0,148.3473158943165,148.3473158943165,148.3473158943165,170.44689774446476,170.44689774446476,170.44689774446476,152.0280680773153,152.0280680773153,152.0280680773153,148.01163044004286,148.01163044004286,148.01163044004286,141.5311617908914,141.5311617908914,141.5311617908914,137.53154693244267,137.53154693244267,137.53154693244267,156.62779252115786,156.62779252115786,156.62779252115786,141.2079986899962,141.2079986899962,141.2079986899962,128.3732254053314,128.3732254053314,128.3732254053314,142.7821220558652,142.7821220558652,142.7821220558652
1,130.0248048549695,130.0248048549695,130.0248048549695,141.57152601924943,141.57152601924943,141.57152601924943,133.33468836469578,133.33468836469578,133.33468836469578,144.7718056419682,144.7718056419682,144.7718056419682,117.21662589454144,117.21662589454144,117.21662589454144,129.6076744741714,129.6076744741714,129.6076744741714,119.17515451173612,119.17515451173612,119.17515451173612,124.46330751411013,124.46330751411013,124.46330751411013,123.86229522485603,123.86229522485603,123.86229522485603,144.63222317536284,144.63222317536284,144.63222317536284
2,131.03646440351304,131.03646440351304,131.03646440351304,143.57975476400435,143.57975476400435,143.57975476400435,125.8913570372666,125.8913570372666,125.8913570372666,127.28307276433551,127.28307276433551,127.28307276433551,134.47315979753475,134.47315979753475,134.47315979753475,125.47599860367902,125.47599860367902,125.47599860367902,124.51081490252302,124.51081490252302,124.51081490252302,116.2859978867919,116.2859978867919,116.2859978867919,114.09747529556478,114.09747529556478,114.09747529556478,123.93803182158646,123.93803182158646,123.93803182158646
3,128.25505312078045,128.25505312078045,128.25505312078045,121.28505800406415,121.28505800406415,121.28505800406415,116.81132764554275,116.81132764554275,116.81132764554275,122.35768162095809,122.35768162095809,122.35768162095809,117.1233171628983,117.1233171628983,117.1233171628983,112.86424623362855,112.86424623362855,112.86424623362855,107.34088991841182,107.34088991841182,107.34088991841182,119.02901058935367,119.02901058935367,119.02901058935367,126.3821548043252,126.3821548043252,126.3821548043252,127.57747139776329,127.57747139776329,127.57747139776329
4,116.13458827825227,116.13458827825227,116.13458827825227,122.2529479992734,122.2529479992734,122.2529479992734,104.37456215081212,104.37456215081212,104.37456215081212,115.35323186685356,115.35323186685356,115.35323186685356,123.0945844309235,123.0945844309235,123.0945844309235,107.96373675465298,107.96373675465298,107.96373675465298,107.32682993566485,107.32682993566485,107.32682993566485,110.36741684684493,110.36741684684493,110.36741684684493,116.04225735043161,116.04225735043161,116.04225735043161,130.40277716421443,130.40277716421443,130.40277716421443
5,109.49488657062925,109.49488657062925,109.49488657062925,106.6187836995786,106.6187836995786,106.6187836995786,101.01775335004919,101.01775335004919,101.01775335004919,110.54403495277839,110.54403495277839,110.54403495277839,110.90457690560956,110.90457690560956,110.90457690560956,108.88316261532012,108.88316261532012,108.88316261532012,100.65325226841101,100.65325226841101,100.65325226841101,102.46543775523179,102.46543775523179,102.46543775523179,112.98301507912323,112.98301507912323,112.98301507912323,122.31809216725998,122.31809216725998,122.31809216725998
6,98.70277438037607,98.70277438037607,98.70277438037607,105.36964536939334,105.36964536939334,105.36964536939334,104.05720299877558,104.05720299877558,104.05720299877558,99.70423199066886,99.70423199066886,99.70423199066886,107.76133425558186,107.76133425558186,107.76133425558186,99.73737483303316,99.73737483303316,99.73737483303316,98.21332571822497,98.21332571822497,98.21332571822497,102.5740253833346,102.5740253833346,102.5740253833346,102.46039020156934,102.46039020156934,102.46039020156934,120.17923634577289,120.17923634577289,120.17923634577289
7,97.46549054279984,97.46549054279984,97.46549054279984,97.06418983413127,97.06418983413127,97.06418983413127,100.56964227434815,100.56964227434815,100.56964227434815,95.5727976962038,95.5727976962038,95.5727976962038,102.49606799141483,102.49606799141483,102.49606799141483,92.65146444015082,92.65146444015082,92.65146444015082,109.15490158405763,109.15490158405763,109.15490158405763,101.315308168484,101.315308168484,101.315308168484,96.97092112360684,96.97092112360684,96.97092112360684,118.7940057827126,118.7940057827126,118.7940057827126
8,107.16045907287182,107.16045907287182,107.16045907287182,97.16425319808174,97.16425319808174,97.16425319808174,100.78069943256747,100.78069943256747,100.78069943256747,92.00070865023527,92.00070865023527,92.00070865023527,97.10781359154086,97.10781359154086,97.10781359154086,96.91588342195159,96.91588342195159,96.91588342195159,108.03001670431185,108.03001670431185,108.03001670431185,96.51722864764511,96.51722864764511,96.51722864764511,94.08552383112138,94.08552383112138,94.08552383112138,112.49335520691979,112.49335520691979,112.49335520691979
9,97.1229006583173,97.1229006583173,97.1229006583173,91.64422331329027,91.64422331329027,91.64422331329027,91.73660911222207,91.73660911222207,91.73660911222207,95.99265736573555,95.99265736573555,95.99265736573555,99.80774581538105,99.80774581538105,99.80774581538105,104.88555298171963,104.88555298171963,104.88555298171963,109.41826017811991,109.41826017811991,109.41826017811991,92.83200167697828,92.83200167697828,92.83200167697828,95.55553488911386,95.55553488911386,95.55553488911386,125.51311156396604,125.51311156396604,125.51311156396604
