Step,comic-tree-52 - FID Score,comic-tree-52 - FID Score__MIN,comic-tree-52 - FID Score__MAX,stellar-wood-51 - FID Score,stellar-wood-51 - FID Score__MIN,stellar-wood-51 - FID Score__MAX,frosty-waterfall-50 - FID Score,frosty-waterfall-50 - FID Score__MIN,frosty-waterfall-50 - FID Score__MAX,happy-wind-49 - FID Score,happy-wind-49 - FID Score__MIN,happy-wind-49 - FID Score__MAX,sandy-energy-48 - FID Score,sandy-energy-48 - FID Score__MIN,sandy-energy-48 - FID Score__MAX,lunar-universe-47 - FID Score,lunar-universe-47 - FID Score__MIN,lunar-universe-47 - FID Score__MAX,skilled-fog-46 - FID Score,skilled-fog-46 - FID Score__MIN,skilled-fog-46 - FID Score__MAX,misunderstood-haze-45 - FID Score,misunderstood-haze-45 - FID Score__MIN,misunderstood-haze-45 - FID Score__MAX,honest-pyramid-44 - FID Score,honest-pyramid-44 - FID Score__MIN,honest-pyramid-44 - FID Score__MAX,fresh-dew-43 - FID Score,fresh-dew-43 - FID Score__MIN,fresh-dew-43 - FID Score__MAX
0,123.48544726657633,123.48544726657633,123.48544726657633,134.06309775373956,134.06309775373956,134.06309775373956,118.77446625166797,118.77446625166797,118.77446625166797,115.54239714472492,115.54239714472492,115.54239714472492,116.54130523990388,116.54130523990388,116.54130523990388,123.46076786170124,123.46076786170124,123.46076786170124,131.3022445969492,131.3022445969492,131.3022445969492,110.16518715575967,110.16518715575967,110.16518715575967,129.9504339089917,129.9504339089917,129.9504339089917,118.77286275852747,118.77286275852747,118.77286275852747
1,101.13417053935697,101.13417053935697,101.13417053935697,108.60172846115253,108.60172846115253,108.60172846115253,90.28771012914397,90.28771012914397,90.28771012914397,103.32018477073501,103.32018477073501,103.32018477073501,94.37321329813929,94.37321329813929,94.37321329813929,92.20478586774453,92.20478586774453,92.20478586774453,92.21061026347171,92.21061026347171,92.21061026347171,91.86132992464107,91.86132992464107,91.86132992464107,91.34934760246864,91.34934760246864,91.34934760246864,95.77553388387723,95.77553388387723,95.77553388387723
2,87.67808795844957,87.67808795844957,87.67808795844957,91.89803977920684,91.89803977920684,91.89803977920684,90.94651877875617,90.94651877875617,90.94651877875617,93.38240734635505,93.38240734635505,93.38240734635505,94.97211209992626,94.97211209992626,94.97211209992626,86.64990412364102,86.64990412364102,86.64990412364102,88.58918791043858,88.58918791043858,88.58918791043858,91.49330143802331,91.49330143802331,91.49330143802331,88.52415884495898,88.52415884495898,88.52415884495898,86.6946512160133,86.6946512160133,86.6946512160133
3,85.20052938879478,85.20052938879478,85.20052938879478,89.26543659600316,89.26543659600316,89.26543659600316,87.43818275228801,87.43818275228801,87.43818275228801,89.54402940203349,89.54402940203349,89.54402940203349,85.90516309171429,85.90516309171429,85.90516309171429,87.58470050951549,87.58470050951549,87.58470050951549,85.38343501865097,85.38343501865097,85.38343501865097,87.76832471789251,87.76832471789251,87.76832471789251,84.46530403210056,84.46530403210056,84.46530403210056,86.93231569874598,86.93231569874598,86.93231569874598
4,82.20745745201378,82.20745745201378,82.20745745201378,83.92333278104155,83.92333278104155,83.92333278104155,85.168065581666,85.168065581666,85.168065581666,83.3321268622389,83.3321268622389,83.3321268622389,82.5024466182951,82.5024466182951,82.5024466182951,84.2045381208377,84.2045381208377,84.2045381208377,84.90632742902656,84.90632742902656,84.90632742902656,83.34416994907734,83.34416994907734,83.34416994907734,84.81194219457753,84.81194219457753,84.81194219457753,82.96129855402287,82.96129855402287,82.96129855402287
5,81.08938609515127,81.08938609515127,81.08938609515127,82.28178624819522,82.28178624819522,82.28178624819522,84.30498192828742,84.30498192828742,84.30498192828742,85.28653915246284,85.28653915246284,85.28653915246284,83.75413541415156,83.75413541415156,83.75413541415156,82.88283300842521,82.88283300842521,82.88283300842521,84.7315926556006,84.7315926556006,84.7315926556006,83.97955819053753,83.97955819053753,83.97955819053753,81.23455650011962,81.23455650011962,81.23455650011962,86.68769093744513,86.68769093744513,86.68769093744513
6,81.6263695112384,81.6263695112384,81.6263695112384,83.21847129236565,83.21847129236565,83.21847129236565,80.34191659882734,80.34191659882734,80.34191659882734,80.7693137565433,80.7693137565433,80.7693137565433,81.32487605471283,81.32487605471283,81.32487605471283,80.30862086106376,80.30862086106376,80.30862086106376,79.37682782350868,79.37682782350868,79.37682782350868,82.61125071083421,82.61125071083421,82.61125071083421,79.55679417502071,79.55679417502071,79.55679417502071,81.72152539297483,81.72152539297483,81.72152539297483
7,79.74766104243507,79.74766104243507,79.74766104243507,80.57219004251483,80.57219004251483,80.57219004251483,79.9244741043269,79.9244741043269,79.9244741043269,79.67038525236879,79.67038525236879,79.67038525236879,82.04445770863305,82.04445770863305,82.04445770863305,83.57209122613457,83.57209122613457,83.57209122613457,78.71022496963856,78.71022496963856,78.71022496963856,80.77044370625826,80.77044370625826,80.77044370625826,80.42081054029967,80.42081054029967,80.42081054029967,81.73112306504358,81.73112306504358,81.73112306504358
8,79.46377076666838,79.46377076666838,79.46377076666838,79.05447002230824,79.05447002230824,79.05447002230824,79.19541439505525,79.19541439505525,79.19541439505525,80.50870767644167,80.50870767644167,80.50870767644167,81.98843119609847,81.98843119609847,81.98843119609847,80.90426639280473,80.90426639280473,80.90426639280473,79.36835260573716,79.36835260573716,79.36835260573716,82.94930721415246,82.94930721415246,82.94930721415246,81.09002212523819,81.09002212523819,81.09002212523819,76.85184062465208,76.85184062465208,76.85184062465208
9,80.40194617156877,80.40194617156877,80.40194617156877,76.52545158957642,76.52545158957642,76.52545158957642,82.2063320260352,82.2063320260352,82.2063320260352,78.78600184937113,78.78600184937113,78.78600184937113,80.64111310327957,80.64111310327957,80.64111310327957,80.60628962083568,80.60628962083568,80.60628962083568,77.95202518478871,77.95202518478871,77.95202518478871,81.77678943203918,81.77678943203918,81.77678943203918,80.85639284525226,80.85639284525226,80.85639284525226,79.09060937247408,79.09060937247408,79.09060937247408
10,80.83608204660257,80.83608204660257,80.83608204660257,78.39289342085921,78.39289342085921,78.39289342085921,86.97760480002452,86.97760480002452,86.97760480002452,79.48972261490408,79.48972261490408,79.48972261490408,81.12715228070493,81.12715228070493,81.12715228070493,78.50269835034103,78.50269835034103,78.50269835034103,78.89480434646809,78.89480434646809,78.89480434646809,80.47945102619023,80.47945102619023,80.47945102619023,76.6164936215412,76.6164936215412,76.6164936215412,78.65453306483928,78.65453306483928,78.65453306483928
11,79.51749166070059,79.51749166070059,79.51749166070059,81.06794570702455,81.06794570702455,81.06794570702455,79.99387130727297,79.99387130727297,79.99387130727297,79.32842807826106,79.32842807826106,79.32842807826106,77.15104801770671,77.15104801770671,77.15104801770671,81.45057296747882,81.45057296747882,81.45057296747882,78.45547692916936,78.45547692916936,78.45547692916936,77.10218827125354,77.10218827125354,77.10218827125354,78.66306662738955,78.66306662738955,78.66306662738955,78.18475813057753,78.18475813057753,78.18475813057753
12,78.41008097214272,78.41008097214272,78.41008097214272,79.9836451011995,79.9836451011995,79.9836451011995,79.0308676287185,79.0308676287185,79.0308676287185,78.18501171565819,78.18501171565819,78.18501171565819,79.2603040698429,79.2603040698429,79.2603040698429,78.10488047572622,78.10488047572622,78.10488047572622,77.539737015321,77.539737015321,77.539737015321,76.50935628773091,76.50935628773091,76.50935628773091,75.22990501801601,75.22990501801601,75.22990501801601,81.19113106750461,81.19113106750461,81.19113106750461
13,81.06399824417608,81.06399824417608,81.06399824417608,78.22792084729075,78.22792084729075,78.22792084729075,80.83578946893857,80.83578946893857,80.83578946893857,77.35699626370197,77.35699626370197,77.35699626370197,77.82845535427353,77.82845535427353,77.82845535427353,79.52884498047368,79.52884498047368,79.52884498047368,78.06907541670792,78.06907541670792,78.06907541670792,78.20707509803505,78.20707509803505,78.20707509803505,77.41849816705488,77.41849816705488,77.41849816705488,76.87698276430802,76.87698276430802,76.87698276430802
14,79.41148708627466,79.41148708627466,79.41148708627466,77.65361378511275,77.65361378511275,77.65361378511275,78.6343576475634,78.6343576475634,78.6343576475634,81.09187261186182,81.09187261186182,81.09187261186182,79.32449442113776,79.32449442113776,79.32449442113776,77.96601329404382,77.96601329404382,77.96601329404382,78.8079940906641,78.8079940906641,78.8079940906641,78.26985141368043,78.26985141368043,78.26985141368043,76.5386465084717,76.5386465084717,76.5386465084717,80.02021276729943,80.02021276729943,80.02021276729943
15,76.25377919084494,76.25377919084494,76.25377919084494,79.03094820548583,79.03094820548583,79.03094820548583,81.57279623015707,81.57279623015707,81.57279623015707,81.85820956967711,81.85820956967711,81.85820956967711,79.71594553237175,79.71594553237175,79.71594553237175,78.57449132442915,78.57449132442915,78.57449132442915,78.90849786567682,78.90849786567682,78.90849786567682,79.47855044945082,79.47855044945082,79.47855044945082,78.0194971125888,78.0194971125888,78.0194971125888,78.23688679808315,78.23688679808315,78.23688679808315
16,77.14101497872193,77.14101497872193,77.14101497872193,77.7181794270698,77.7181794270698,77.7181794270698,78.72732932964365,78.72732932964365,78.72732932964365,80.25502231025567,80.25502231025567,80.25502231025567,78.4555536316547,78.4555536316547,78.4555536316547,75.86729262319332,75.86729262319332,75.86729262319332,78.74643290225956,78.74643290225956,78.74643290225956,77.56987205451526,77.56987205451526,77.56987205451526,79.62582382494816,79.62582382494816,79.62582382494816,80.93103419560988,80.93103419560988,80.93103419560988
17,79.60951770863726,79.60951770863726,79.60951770863726,75.64316687747899,75.64316687747899,75.64316687747899,78.32942491637435,78.32942491637435,78.32942491637435,77.16754572813235,77.16754572813235,77.16754572813235,78.51640162310338,78.51640162310338,78.51640162310338,77.87414141194884,77.87414141194884,77.87414141194884,78.07799939857495,78.07799939857495,78.07799939857495,78.68760851402433,78.68760851402433,78.68760851402433,77.91478312602909,77.91478312602909,77.91478312602909,76.74816911232388,76.74816911232388,76.74816911232388
18,79.11692709107733,79.11692709107733,79.11692709107733,78.77110484333214,78.77110484333214,78.77110484333214,75.91018174780424,75.91018174780424,75.91018174780424,79.67356311283379,79.67356311283379,79.67356311283379,78.4143297882718,78.4143297882718,78.4143297882718,80.97363786943002,80.97363786943002,80.97363786943002,76.3791259412901,76.3791259412901,76.3791259412901,79.20561043702824,79.20561043702824,79.20561043702824,77.11048443415552,77.11048443415552,77.11048443415552,79.24201320791326,79.24201320791326,79.24201320791326
19,77.23645940289379,77.23645940289379,77.23645940289379,77.31779305225994,77.31779305225994,77.31779305225994,79.11650100300307,79.11650100300307,79.11650100300307,78.95151134482367,78.95151134482367,78.95151134482367,77.6684642866139,77.6684642866139,77.6684642866139,77.06828140421126,77.06828140421126,77.06828140421126,77.6544008721073,77.6544008721073,77.6544008721073,76.88160234920285,76.88160234920285,76.88160234920285,77.21524218252182,77.21524218252182,77.21524218252182,77.5502085306399,77.5502085306399,77.5502085306399
20,80.11551923246626,80.11551923246626,80.11551923246626,80.38535819680509,80.38535819680509,80.38535819680509,78.47085174229557,78.47085174229557,78.47085174229557,77.30678816271035,77.30678816271035,77.30678816271035,78.61636339219574,78.61636339219574,78.61636339219574,79.21496138055929,79.21496138055929,79.21496138055929,76.29776778619903,76.29776778619903,76.29776778619903,79.30019287477776,79.30019287477776,79.30019287477776,79.27996270681398,79.27996270681398,79.27996270681398,77.57545208278924,77.57545208278924,77.57545208278924
21,80.45195577222218,80.45195577222218,80.45195577222218,76.44368903106587,76.44368903106587,76.44368903106587,77.97382821063745,77.97382821063745,77.97382821063745,77.36298024858729,77.36298024858729,77.36298024858729,79.56950412958874,79.56950412958874,79.56950412958874,81.2508686820406,81.2508686820406,81.2508686820406,75.64832681394903,75.64832681394903,75.64832681394903,78.23842397911203,78.23842397911203,78.23842397911203,80.90199454131476,80.90199454131476,80.90199454131476,77.9991666230494,77.9991666230494,77.9991666230494
22,75.79758544393826,75.79758544393826,75.79758544393826,78.1958465578883,78.1958465578883,78.1958465578883,78.58752306465144,78.58752306465144,78.58752306465144,80.58284754522421,80.58284754522421,80.58284754522421,83.04440422112911,83.04440422112911,83.04440422112911,77.21942408032027,77.21942408032027,77.21942408032027,79.610472796274,79.610472796274,79.610472796274,77.27736241290897,77.27736241290897,77.27736241290897,77.00295488596782,77.00295488596782,77.00295488596782,80.87149863630319,80.87149863630319,80.87149863630319
23,74.51441441175245,74.51441441175245,74.51441441175245,78.1099852938099,78.1099852938099,78.1099852938099,77.0942017615974,77.0942017615974,77.0942017615974,77.94063905382791,77.94063905382791,77.94063905382791,77.83149717406684,77.83149717406684,77.83149717406684,80.82169671794227,80.82169671794227,80.82169671794227,75.723927633542,75.723927633542,75.723927633542,76.50717882186798,76.50717882186798,76.50717882186798,76.39275452999411,76.39275452999411,76.39275452999411,77.76670033201025,77.76670033201025,77.76670033201025
24,75.29652898981668,75.29652898981668,75.29652898981668,76.93078208204847,76.93078208204847,76.93078208204847,78.10807536286801,78.10807536286801,78.10807536286801,80.2708828265466,80.2708828265466,80.2708828265466,77.50233421567113,77.50233421567113,77.50233421567113,79.37100028303598,79.37100028303598,79.37100028303598,78.84816020650749,78.84816020650749,78.84816020650749,79.7604690352332,79.7604690352332,79.7604690352332,75.40509158505886,75.40509158505886,75.40509158505886,76.91496187346559,76.91496187346559,76.91496187346559
25,77.0095073951908,77.0095073951908,77.0095073951908,78.54714933424061,78.54714933424061,78.54714933424061,81.71844865384296,81.71844865384296,81.71844865384296,78.52945873337273,78.52945873337273,78.52945873337273,74.65670976242468,74.65670976242468,74.65670976242468,78.59784914960355,78.59784914960355,78.59784914960355,77.10752394671687,77.10752394671687,77.10752394671687,83.60991643587644,83.60991643587644,83.60991643587644,73.36767988928223,73.36767988928223,73.36767988928223,80.07614592774723,80.07614592774723,80.07614592774723
26,77.61704138246385,77.61704138246385,77.61704138246385,79.04363562239797,79.04363562239797,79.04363562239797,76.97994418400081,76.97994418400081,76.97994418400081,75.51959953300843,75.51959953300843,75.51959953300843,78.19440039381996,78.19440039381996,78.19440039381996,82.91520700658162,82.91520700658162,82.91520700658162,76.71302511118276,76.71302511118276,76.71302511118276,81.03244737385783,81.03244737385783,81.03244737385783,77.39025750810006,77.39025750810006,77.39025750810006,80.7913178839662,80.7913178839662,80.7913178839662
27,77.65350611432221,77.65350611432221,77.65350611432221,77.09163173743221,77.09163173743221,77.09163173743221,78.63299343958678,78.63299343958678,78.63299343958678,82.20905531026438,82.20905531026438,82.20905531026438,78.36814505556943,78.36814505556943,78.36814505556943,76.82105009085944,76.82105009085944,76.82105009085944,80.84753382710568,80.84753382710568,80.84753382710568,80.25215443124308,80.25215443124308,80.25215443124308,82.745873754707,82.745873754707,82.745873754707,77.85350685700794,77.85350685700794,77.85350685700794
28,78.64835760273324,78.64835760273324,78.64835760273324,75.57623370718278,75.57623370718278,75.57623370718278,75.84310720247697,75.84310720247697,75.84310720247697,81.07910186446973,81.07910186446973,81.07910186446973,79.18115158672467,79.18115158672467,79.18115158672467,78.54359935018132,78.54359935018132,78.54359935018132,75.12741633183688,75.12741633183688,75.12741633183688,77.32991138027542,77.32991138027542,77.32991138027542,76.82215600248068,76.82215600248068,76.82215600248068,77.83140327492427,77.83140327492427,77.83140327492427
29,76.0309211073498,76.0309211073498,76.0309211073498,81.15888577530082,81.15888577530082,81.15888577530082,77.82007015028775,77.82007015028775,77.82007015028775,78.23344466182914,78.23344466182914,78.23344466182914,78.81567917061038,78.81567917061038,78.81567917061038,81.20501715478909,81.20501715478909,81.20501715478909,76.8367515850755,76.8367515850755,76.8367515850755,78.90972029541501,78.90972029541501,78.90972029541501,75.56982936483809,75.56982936483809,75.56982936483809,77.43548252843544,77.43548252843544,77.43548252843544
