Step,elated-aardvark-15 - FID Score,elated-aardvark-15 - FID Score__MIN,elated-aardvark-15 - FID Score__MAX,true-spaceship-14 - FID Score,true-spaceship-14 - FID Score__MIN,true-spaceship-14 - FID Score__MAX,quiet-firebrand-13 - FID Score,quiet-firebrand-13 - FID Score__MIN,quiet-firebrand-13 - FID Score__MAX,proud-spaceship-12 - FID Score,proud-spaceship-12 - FID Score__MIN,proud-spaceship-12 - FID Score__MAX,vivid-water-11 - FID Score,vivid-water-11 - FID Score__MIN,vivid-water-11 - FID Score__MAX,deep-wave-10 - FID Score,deep-wave-10 - FID Score__MIN,deep-wave-10 - FID Score__MAX,exalted-dew-8 - FID Score,exalted-dew-8 - FID Score__MIN,exalted-dew-8 - FID Score__MAX,woven-donkey-4 - FID Score,woven-donkey-4 - FID Score__MIN,woven-donkey-4 - FID Score__MAX,hardy-dawn-3 - FID Score,hardy-dawn-3 - FID Score__MIN,hardy-dawn-3 - FID Score__MAX,classic-salad-2 - FID Score,classic-salad-2 - FID Score__MIN,classic-salad-2 - FID Score__MAX
0,181.87399259985315,181.87399259985315,181.87399259985315,138.09380070092436,138.09380070092436,138.09380070092436,341.3585123620067,341.3585123620067,341.3585123620067,194.07291632175847,194.07291632175847,194.07291632175847,200.55594917852864,200.55594917852864,200.55594917852864,200.8870935343214,200.8870935343214,200.8870935343214,196.0752175916465,196.0752175916465,196.0752175916465,194.7883696504536,194.7883696504536,194.7883696504536,158.49029017331162,158.49029017331162,158.49029017331162,233.47475921138113,233.47475921138113,233.47475921138113
1,193.53837787352148,193.53837787352148,193.53837787352148,93.99389114849004,93.99389114849004,93.99389114849004,231.08344213879985,231.08344213879985,231.08344213879985,153.90780783785857,153.90780783785857,153.90780783785857,181.78497624256931,181.78497624256931,181.78497624256931,165.31498567501902,165.31498567501902,165.31498567501902,179.37315152247436,179.37315152247436,179.37315152247436,149.0024439093441,149.0024439093441,149.0024439093441,150.94602437984912,150.94602437984912,150.94602437984912,190.08709569334818,190.08709569334818,190.08709569334818
2,125.8585232629177,125.8585232629177,125.8585232629177,68.03064792683429,68.03064792683429,68.03064792683429,184.68058840805762,184.68058840805762,184.68058840805762,107.28232614718445,107.28232614718445,107.28232614718445,154.07464005423844,154.07464005423844,154.07464005423844,108.55161018746561,108.55161018746561,108.55161018746561,181.12181021560178,181.12181021560178,181.12181021560178,146.25641469382643,146.25641469382643,146.25641469382643,139.91525843456063,139.91525843456063,139.91525843456063,182.33202598233407,182.33202598233407,182.33202598233407
3,112.48858130798284,112.48858130798284,112.48858130798284,62.83628152711902,62.83628152711902,62.83628152711902,174.2441521235806,174.2441521235806,174.2441521235806,95.29352053226356,95.29352053226356,95.29352053226356,126.48424400990211,126.48424400990211,126.48424400990211,108.05912340075876,108.05912340075876,108.05912340075876,133.23055422106435,133.23055422106435,133.23055422106435,151.3747525917874,151.3747525917874,151.3747525917874,124.74908458666783,124.74908458666783,124.74908458666783,169.00728338801497,169.00728338801497,169.00728338801497
4,79.8321641564027,79.8321641564027,79.8321641564027,59.835491067681886,59.835491067681886,59.835491067681886,142.45127387030686,142.45127387030686,142.45127387030686,81.30844763522958,81.30844763522958,81.30844763522958,120.90015531880472,120.90015531880472,120.90015531880472,77.52676788768986,77.52676788768986,77.52676788768986,117.35073199803998,117.35073199803998,117.35073199803998,135.91057985847013,135.91057985847013,135.91057985847013,126.29051128061175,126.29051128061175,126.29051128061175,149.30565642386753,149.30565642386753,149.30565642386753
5,71.9274953933322,71.9274953933322,71.9274953933322,62.42341445389407,62.42341445389407,62.42341445389407,126.25128490735429,126.25128490735429,126.25128490735429,75.31364518820189,75.31364518820189,75.31364518820189,98.09055075804386,98.09055075804386,98.09055075804386,73.3546105272579,73.3546105272579,73.3546105272579,110.08819264181817,110.08819264181817,110.08819264181817,107.54597388032332,107.54597388032332,107.54597388032332,78.47274165669648,78.47274165669648,78.47274165669648,124.90670360184887,124.90670360184887,124.90670360184887
6,60.24089850446434,60.24089850446434,60.24089850446434,58.635906051550236,58.635906051550236,58.635906051550236,123.47572832386854,123.47572832386854,123.47572832386854,65.14437016967506,65.14437016967506,65.14437016967506,91.4882248540789,91.4882248540789,91.4882248540789,61.755822015655696,61.755822015655696,61.755822015655696,96.12886003051692,96.12886003051692,96.12886003051692,98.9884629802593,98.9884629802593,98.9884629802593,87.00418659182543,87.00418659182543,87.00418659182543,95.11684582177179,95.11684582177179,95.11684582177179
7,76.87705347867418,76.87705347867418,76.87705347867418,58.99386969902132,58.99386969902132,58.99386969902132,104.71788874253316,104.71788874253316,104.71788874253316,62.377281319464856,62.377281319464856,62.377281319464856,76.30107215332879,76.30107215332879,76.30107215332879,57.557776548272486,57.557776548272486,57.557776548272486,92.64391346449463,92.64391346449463,92.64391346449463,79.12617415806717,79.12617415806717,79.12617415806717,69.59119906570075,69.59119906570075,69.59119906570075,101.79062092103649,101.79062092103649,101.79062092103649
8,63.65696890709598,63.65696890709598,63.65696890709598,55.319452147345345,55.319452147345345,55.319452147345345,81.67087411733287,81.67087411733287,81.67087411733287,61.19131151589236,61.19131151589236,61.19131151589236,60.466601112346424,60.466601112346424,60.466601112346424,64.48569863575288,64.48569863575288,64.48569863575288,69.39370429010609,69.39370429010609,69.39370429010609,62.603772948621526,62.603772948621526,62.603772948621526,84.23737169292602,84.23737169292602,84.23737169292602,77.3347027080996,77.3347027080996,77.3347027080996
9,56.34735076874815,56.34735076874815,56.34735076874815,58.91049476611296,58.91049476611296,58.91049476611296,81.52808867318899,81.52808867318899,81.52808867318899,65.12584431803309,65.12584431803309,65.12584431803309,67.04288950121985,67.04288950121985,67.04288950121985,56.9726443821734,56.9726443821734,56.9726443821734,65.7677318085277,65.7677318085277,65.7677318085277,60.869282404007635,60.869282404007635,60.869282404007635,68.5470693033826,68.5470693033826,68.5470693033826,73.15424322840755,73.15424322840755,73.15424322840755
