Step,avid-valley-27 - FID Score,avid-valley-27 - FID Score__MIN,avid-valley-27 - FID Score__MAX,desert-dew-26 - FID Score,desert-dew-26 - FID Score__MIN,desert-dew-26 - FID Score__MAX,fresh-tree-25 - FID Score,fresh-tree-25 - FID Score__MIN,fresh-tree-25 - FID Score__MAX,wild-valley-24 - FID Score,wild-valley-24 - FID Score__MIN,wild-valley-24 - FID Score__MAX,eternal-star-23 - FID Score,eternal-star-23 - FID Score__MIN,eternal-star-23 - FID Score__MAX,denim-flower-17 - FID Score,denim-flower-17 - FID Score__MIN,denim-flower-17 - FID Score__MAX,feasible-glitter-14 - FID Score,feasible-glitter-14 - FID Score__MIN,feasible-glitter-14 - FID Score__MAX,rare-dragon-13 - FID Score,rare-dragon-13 - FID Score__MIN,rare-dragon-13 - FID Score__MAX,rural-hill-12 - FID Score,rural-hill-12 - FID Score__MIN,rural-hill-12 - FID Score__MAX,clean-elevator-11 - FID Score,clean-elevator-11 - FID Score__MIN,clean-elevator-11 - FID Score__MAX
0,66.31385847040161,66.31385847040161,66.31385847040161,76.01579496831991,76.01579496831991,76.01579496831991,72.85212281474061,72.85212281474061,72.85212281474061,74.84277737459841,74.84277737459841,74.84277737459841,69.5224674050293,69.5224674050293,69.5224674050293,82.43941213340575,82.43941213340575,82.43941213340575,72.8307250816789,72.8307250816789,72.8307250816789,84.59634112490927,84.59634112490927,84.59634112490927,70.97350357523183,70.97350357523183,70.97350357523183,77.46933629071592,77.46933629071592,77.46933629071592
1,58.93399237446707,58.93399237446707,58.93399237446707,66.3746292613578,66.3746292613578,66.3746292613578,63.380448263035866,63.380448263035866,63.380448263035866,60.96838409102901,60.96838409102901,60.96838409102901,67.22754246619355,67.22754246619355,67.22754246619355,63.42741681842989,63.42741681842989,63.42741681842989,64.64504281772889,64.64504281772889,64.64504281772889,63.56903840912918,63.56903840912918,63.56903840912918,63.527057849373946,63.527057849373946,63.527057849373946,59.47503215666796,59.47503215666796,59.47503215666796
2,67.24392821623624,67.24392821623624,67.24392821623624,57.30826148105045,57.30826148105045,57.30826148105045,61.14322460749705,61.14322460749705,61.14322460749705,58.023139929240095,58.023139929240095,58.023139929240095,58.45107680259147,58.45107680259147,58.45107680259147,63.116843057196164,63.116843057196164,63.116843057196164,62.46698726066444,62.46698726066444,62.46698726066444,69.96712429803293,69.96712429803293,69.96712429803293,55.77759338482258,55.77759338482258,55.77759338482258,54.80091210426204,54.80091210426204,54.80091210426204
3,55.32478734367028,55.32478734367028,55.32478734367028,57.5982808597266,57.5982808597266,57.5982808597266,55.45392957789406,55.45392957789406,55.45392957789406,54.98692948450327,54.98692948450327,54.98692948450327,52.79531359777571,52.79531359777571,52.79531359777571,59.740100644887534,59.740100644887534,59.740100644887534,56.46387619783093,56.46387619783093,56.46387619783093,56.00765288536732,56.00765288536732,56.00765288536732,54.67016175055781,54.67016175055781,54.67016175055781,57.61789718936173,57.61789718936173,57.61789718936173
4,66.94837976401558,66.94837976401558,66.94837976401558,56.132451704522374,56.132451704522374,56.132451704522374,54.17920088072951,54.17920088072951,54.17920088072951,55.3235679505385,55.3235679505385,55.3235679505385,57.5134187287515,57.5134187287515,57.5134187287515,59.56367325022583,59.56367325022583,59.56367325022583,53.6866598751449,53.6866598751449,53.6866598751449,53.67007164390642,53.67007164390642,53.67007164390642,54.006281201400654,54.006281201400654,54.006281201400654,55.758772493502875,55.758772493502875,55.758772493502875
5,51.56765608044245,51.56765608044245,51.56765608044245,58.9883361206125,58.9883361206125,58.9883361206125,52.89757697977231,52.89757697977231,52.89757697977231,54.816174200976796,54.816174200976796,54.816174200976796,55.27918188171748,55.27918188171748,55.27918188171748,55.0486624841341,55.0486624841341,55.0486624841341,53.95915483264412,53.95915483264412,53.95915483264412,53.986806794531844,53.986806794531844,53.986806794531844,55.5783661951736,55.5783661951736,55.5783661951736,60.8691121978883,60.8691121978883,60.8691121978883
6,52.05353452662129,52.05353452662129,52.05353452662129,54.81690215565676,54.81690215565676,54.81690215565676,57.25349283561732,57.25349283561732,57.25349283561732,52.84810221461904,52.84810221461904,52.84810221461904,55.76084085725512,55.76084085725512,55.76084085725512,55.884552991682284,55.884552991682284,55.884552991682284,51.65539138575092,51.65539138575092,51.65539138575092,53.346014349028685,53.346014349028685,53.346014349028685,53.17831125433454,53.17831125433454,53.17831125433454,56.216734156511194,56.216734156511194,56.216734156511194
7,51.328673611190005,51.328673611190005,51.328673611190005,50.00350958228997,50.00350958228997,50.00350958228997,51.43628691410319,51.43628691410319,51.43628691410319,52.37039928773287,52.37039928773287,52.37039928773287,54.92343710622159,54.92343710622159,54.92343710622159,54.39270568773827,54.39270568773827,54.39270568773827,56.188609027237824,56.188609027237824,56.188609027237824,55.7405801118894,55.7405801118894,55.7405801118894,55.11240460707859,55.11240460707859,55.11240460707859,53.55039346602429,53.55039346602429,53.55039346602429
8,50.345732554559895,50.345732554559895,50.345732554559895,54.6605768085031,54.6605768085031,54.6605768085031,53.22290111109987,53.22290111109987,53.22290111109987,54.26194281334942,54.26194281334942,54.26194281334942,52.55702533300905,52.55702533300905,52.55702533300905,53.585187009093225,53.585187009093225,53.585187009093225,50.88384577216131,50.88384577216131,50.88384577216131,50.182080496630064,50.182080496630064,50.182080496630064,50.2073192850888,50.2073192850888,50.2073192850888,57.16984746212925,57.16984746212925,57.16984746212925
9,49.86317392569176,49.86317392569176,49.86317392569176,53.56468190734269,53.56468190734269,53.56468190734269,50.4629130253678,50.4629130253678,50.4629130253678,55.59433492156434,55.59433492156434,55.59433492156434,59.10543153757593,59.10543153757593,59.10543153757593,56.59315547822496,56.59315547822496,56.59315547822496,48.58161132589058,48.58161132589058,48.58161132589058,51.085474916464065,51.085474916464065,51.085474916464065,53.8025220406742,53.8025220406742,53.8025220406742,50.185124890369245,50.185124890369245,50.185124890369245
