Step,mild-valley-28 - FID Score,mild-valley-28 - FID Score__MIN,mild-valley-28 - FID Score__MAX,pretty-morning-27 - FID Score,pretty-morning-27 - FID Score__MIN,pretty-morning-27 - FID Score__MAX,lively-morning-26 - FID Score,lively-morning-26 - FID Score__MIN,lively-morning-26 - FID Score__MAX,drawn-moon-24 - FID Score,drawn-moon-24 - FID Score__MIN,drawn-moon-24 - FID Score__MAX,zesty-shape-25 - FID Score,zesty-shape-25 - FID Score__MIN,zesty-shape-25 - FID Score__MAX,royal-sponge-18 - FID Score,royal-sponge-18 - FID Score__MIN,royal-sponge-18 - FID Score__MAX,charmed-fire-17 - FID Score,charmed-fire-17 - FID Score__MIN,charmed-fire-17 - FID Score__MAX,silvery-snowflake-16 - FID Score,silvery-snowflake-16 - FID Score__MIN,silvery-snowflake-16 - FID Score__MAX,apricot-firefly-15 - FID Score,apricot-firefly-15 - FID Score__MIN,apricot-firefly-15 - FID Score__MAX,colorful-breeze-14 - FID Score,colorful-breeze-14 - FID Score__MIN,colorful-breeze-14 - FID Score__MAX
0,66.62076084339415,66.62076084339415,66.62076084339415,62.356731854414214,62.356731854414214,62.356731854414214,67.5250412526329,67.5250412526329,67.5250412526329,66.35223476291925,66.35223476291925,66.35223476291925,65.24687473597598,65.24687473597598,65.24687473597598,74.77712800721898,74.77712800721898,74.77712800721898,76.38757702586145,76.38757702586145,76.38757702586145,79.07914381610597,79.07914381610597,79.07914381610597,71.8209363955541,71.8209363955541,71.8209363955541,71.2178593898243,71.2178593898243,71.2178593898243
1,54.28313651355414,54.28313651355414,54.28313651355414,55.55620058624107,55.55620058624107,55.55620058624107,63.754615613331026,63.754615613331026,63.754615613331026,59.276425714904825,59.276425714904825,59.276425714904825,58.85630333737548,58.85630333737548,58.85630333737548,56.8277763360422,56.8277763360422,56.8277763360422,55.78126741878816,55.78126741878816,55.78126741878816,59.17593378526661,59.17593378526661,59.17593378526661,54.35603207262382,54.35603207262382,54.35603207262382,54.43316081764064,54.43316081764064,54.43316081764064
2,54.67859495179876,54.67859495179876,54.67859495179876,54.520333954883974,54.520333954883974,54.520333954883974,59.152460732624554,59.152460732624554,59.152460732624554,56.0473093637718,56.0473093637718,56.0473093637718,58.94101177160602,58.94101177160602,58.94101177160602,62.16754264356669,62.16754264356669,62.16754264356669,52.273032434569494,52.273032434569494,52.273032434569494,52.25455853616593,52.25455853616593,52.25455853616593,59.149699530541604,59.149699530541604,59.149699530541604,53.52692907189146,53.52692907189146,53.52692907189146
3,50.76848564356055,50.76848564356055,50.76848564356055,52.96663231732606,52.96663231732606,52.96663231732606,52.27997399520493,52.27997399520493,52.27997399520493,60.38110771844093,60.38110771844093,60.38110771844093,54.92215389463915,54.92215389463915,54.92215389463915,57.51319490008363,57.51319490008363,57.51319490008363,51.208878071437155,51.208878071437155,51.208878071437155,57.490130563776525,57.490130563776525,57.490130563776525,57.83873182753919,57.83873182753919,57.83873182753919,52.63899017024865,52.63899017024865,52.63899017024865
4,54.44582658765148,54.44582658765148,54.44582658765148,56.214253586114765,56.214253586114765,56.214253586114765,61.5833722037007,61.5833722037007,61.5833722037007,55.63782401210932,55.63782401210932,55.63782401210932,53.91049206456974,53.91049206456974,53.91049206456974,56.065781095996286,56.065781095996286,56.065781095996286,54.633492293431054,54.633492293431054,54.633492293431054,61.43685097105255,61.43685097105255,61.43685097105255,54.222704420952056,54.222704420952056,54.222704420952056,56.00331880574895,56.00331880574895,56.00331880574895
5,55.82445367661069,55.82445367661069,55.82445367661069,53.44357737594012,53.44357737594012,53.44357737594012,54.38879362474531,54.38879362474531,54.38879362474531,56.61202892276076,56.61202892276076,56.61202892276076,52.670855570793364,52.670855570793364,52.670855570793364,55.32097274633172,55.32097274633172,55.32097274633172,50.85993461781541,50.85993461781541,50.85993461781541,53.004817043711995,53.004817043711995,53.004817043711995,54.499940703324704,54.499940703324704,54.499940703324704,52.63799348993146,52.63799348993146,52.63799348993146
6,54.72587590800772,54.72587590800772,54.72587590800772,51.00563867392752,51.00563867392752,51.00563867392752,60.92057132169266,60.92057132169266,60.92057132169266,54.69644589029478,54.69644589029478,54.69644589029478,55.73787534822376,55.73787534822376,55.73787534822376,54.46187592805688,54.46187592805688,54.46187592805688,50.415148992784566,50.415148992784566,50.415148992784566,59.500297308299245,59.500297308299245,59.500297308299245,57.64280032009748,57.64280032009748,57.64280032009748,51.35368791453857,51.35368791453857,51.35368791453857
7,55.69815811336878,55.69815811336878,55.69815811336878,51.34969306517132,51.34969306517132,51.34969306517132,55.072696497822065,55.072696497822065,55.072696497822065,57.398933325086475,57.398933325086475,57.398933325086475,53.765099404136585,53.765099404136585,53.765099404136585,53.96433362654864,53.96433362654864,53.96433362654864,55.75630406643387,55.75630406643387,55.75630406643387,52.77110705504967,52.77110705504967,52.77110705504967,50.55166238652559,50.55166238652559,50.55166238652559,53.09936656709689,53.09936656709689,53.09936656709689
8,48.94895060825981,48.94895060825981,48.94895060825981,52.294765539389886,52.294765539389886,52.294765539389886,53.20693511430826,53.20693511430826,53.20693511430826,56.349528166902786,56.349528166902786,56.349528166902786,55.27844677905605,55.27844677905605,55.27844677905605,52.95562594135214,52.95562594135214,52.95562594135214,52.444837855797715,52.444837855797715,52.444837855797715,49.04471462612377,49.04471462612377,49.04471462612377,51.826068084526014,51.826068084526014,51.826068084526014,54.63052912905515,54.63052912905515,54.63052912905515
9,51.001732543678855,51.001732543678855,51.001732543678855,53.20135430657655,53.20135430657655,53.20135430657655,57.46038923541467,57.46038923541467,57.46038923541467,55.67543559153913,55.67543559153913,55.67543559153913,52.7233196475681,52.7233196475681,52.7233196475681,55.24231305243868,55.24231305243868,55.24231305243868,52.18271215668406,52.18271215668406,52.18271215668406,52.86131489133557,52.86131489133557,52.86131489133557,55.04779403242405,55.04779403242405,55.04779403242405,50.748694913281284,50.748694913281284,50.748694913281284
10,53.73981300623234,53.73981300623234,53.73981300623234,53.337947478801034,53.337947478801034,53.337947478801034,52.727041309361134,52.727041309361134,52.727041309361134,51.993942709771616,51.993942709771616,51.993942709771616,56.03416838242231,56.03416838242231,56.03416838242231,57.68756531643077,57.68756531643077,57.68756531643077,53.83287064043078,53.83287064043078,53.83287064043078,54.40236500743656,54.40236500743656,54.40236500743656,53.96099513699744,53.96099513699744,53.96099513699744,53.44192646348366,53.44192646348366,53.44192646348366
11,49.763096685719745,49.763096685719745,49.763096685719745,51.72693543772383,51.72693543772383,51.72693543772383,52.80583564068209,52.80583564068209,52.80583564068209,50.512181785331215,50.512181785331215,50.512181785331215,54.42970694445753,54.42970694445753,54.42970694445753,57.79280394437204,57.79280394437204,57.79280394437204,49.38565751284826,49.38565751284826,49.38565751284826,49.66983981033489,49.66983981033489,49.66983981033489,55.425130649034315,55.425130649034315,55.425130649034315,51.91849126717993,51.91849126717993,51.91849126717993
12,53.920618293264354,53.920618293264354,53.920618293264354,51.54075046239063,51.54075046239063,51.54075046239063,51.0476127678551,51.0476127678551,51.0476127678551,50.59512365485125,50.59512365485125,50.59512365485125,50.860508116525466,50.860508116525466,50.860508116525466,57.1837611444917,57.1837611444917,57.1837611444917,55.51068535136808,55.51068535136808,55.51068535136808,54.86260692368104,54.86260692368104,54.86260692368104,53.12913456687134,53.12913456687134,53.12913456687134,52.44669081231835,52.44669081231835,52.44669081231835
