Step,dark-lake-52 - FID Score,dark-lake-52 - FID Score__MIN,dark-lake-52 - FID Score__MAX,usual-river-51 - FID Score,usual-river-51 - FID Score__MIN,usual-river-51 - FID Score__MAX,deep-dew-50 - FID Score,deep-dew-50 - FID Score__MIN,deep-dew-50 - FID Score__MAX,unique-wind-49 - FID Score,unique-wind-49 - FID Score__MIN,unique-wind-49 - FID Score__MAX,flowing-yogurt-48 - FID Score,flowing-yogurt-48 - FID Score__MIN,flowing-yogurt-48 - FID Score__MAX,effortless-durian-47 - FID Score,effortless-durian-47 - FID Score__MIN,effortless-durian-47 - FID Score__MAX,fallen-lion-46 - FID Score,fallen-lion-46 - FID Score__MIN,fallen-lion-46 - FID Score__MAX,efficient-flower-45 - FID Score,efficient-flower-45 - FID Score__MIN,efficient-flower-45 - FID Score__MAX,major-eon-44 - FID Score,major-eon-44 - FID Score__MIN,major-eon-44 - FID Score__MAX,frosty-glade-43 - FID Score,frosty-glade-43 - FID Score__MIN,frosty-glade-43 - FID Score__MAX
0,228.77172467754076,228.77172467754076,228.77172467754076,351.3355838977916,351.3355838977916,351.3355838977916,441.4556902276033,441.4556902276033,441.4556902276033,153.02112978729843,153.02112978729843,153.02112978729843,307.8767126511308,307.8767126511308,307.8767126511308,80.28986807781409,80.28986807781409,80.28986807781409,264.82667028965346,264.82667028965346,264.82667028965346,273.528694859571,273.528694859571,273.528694859571,441.63342845162134,441.63342845162134,441.63342845162134,99.30222397778029,99.30222397778029,99.30222397778029
1,25.766489345241254,25.766489345241254,25.766489345241254,26.5102569767291,26.5102569767291,26.5102569767291,60.72591519555874,60.72591519555874,60.72591519555874,25.973202454637928,25.973202454637928,25.973202454637928,46.60802223549331,46.60802223549331,46.60802223549331,25.767434873705433,25.767434873705433,25.767434873705433,26.897164589289154,26.897164589289154,26.897164589289154,27.005213876249282,27.005213876249282,27.005213876249282,51.39028566200955,51.39028566200955,51.39028566200955,26.89764862587711,26.89764862587711,26.89764862587711
2,23.427498122825966,23.427498122825966,23.427498122825966,24.34290494568856,24.34290494568856,24.34290494568856,23.18720468905492,23.18720468905492,23.18720468905492,23.73619553265832,23.73619553265832,23.73619553265832,24.970839838682114,24.970839838682114,24.970839838682114,22.97668860261779,22.97668860261779,22.97668860261779,25.114922973551273,25.114922973551273,25.114922973551273,22.532463428394998,22.532463428394998,22.532463428394998,26.17569891314918,26.17569891314918,26.17569891314918,23.120726755461696,23.120726755461696,23.120726755461696
3,23.65385582001644,23.65385582001644,23.65385582001644,23.876458482296975,23.876458482296975,23.876458482296975,24.269391049464552,24.269391049464552,24.269391049464552,23.10364577979919,23.10364577979919,23.10364577979919,25.06548708458235,25.06548708458235,25.06548708458235,23.0401191315392,23.0401191315392,23.0401191315392,20.825006579673428,20.825006579673428,20.825006579673428,23.213269210120924,23.213269210120924,23.213269210120924,21.67919699355854,21.67919699355854,21.67919699355854,19.239019453351183,19.239019453351183,19.239019453351183
4,20.134658939720577,20.134658939720577,20.134658939720577,23.624671882079497,23.624671882079497,23.624671882079497,20.394834875863587,20.394834875863587,20.394834875863587,20.76000040950892,20.76000040950892,20.76000040950892,24.537441652647686,24.537441652647686,24.537441652647686,23.017127215257236,23.017127215257236,23.017127215257236,23.49020987226108,23.49020987226108,23.49020987226108,21.84779507490222,21.84779507490222,21.84779507490222,19.275115635675526,19.275115635675526,19.275115635675526,20.958736673305246,20.958736673305246,20.958736673305246
5,20.30310715826343,20.30310715826343,20.30310715826343,23.79706790371056,23.79706790371056,23.79706790371056,23.22481782947883,23.22481782947883,23.22481782947883,21.223375126560825,21.223375126560825,21.223375126560825,22.237294725479984,22.237294725479984,22.237294725479984,20.794802688386714,20.794802688386714,20.794802688386714,22.329736884201974,22.329736884201974,22.329736884201974,20.30297752961272,20.30297752961272,20.30297752961272,24.000053952757288,24.000053952757288,24.000053952757288,21.95643719266558,21.95643719266558,21.95643719266558
6,22.67277860710611,22.67277860710611,22.67277860710611,24.168857597213563,24.168857597213563,24.168857597213563,20.15386237098435,20.15386237098435,20.15386237098435,19.515194411224755,19.515194411224755,19.515194411224755,21.405649747209978,21.405649747209978,21.405649747209978,23.037737220685646,23.037737220685646,23.037737220685646,20.759161056413596,20.759161056413596,20.759161056413596,24.1280063605019,24.1280063605019,24.1280063605019,22.177301269393453,22.177301269393453,22.177301269393453,21.544879863460807,21.544879863460807,21.544879863460807
7,21.529361733871955,21.529361733871955,21.529361733871955,21.63593588326071,21.63593588326071,21.63593588326071,22.870818325618067,22.870818325618067,22.870818325618067,24.569723096062944,24.569723096062944,24.569723096062944,19.70273407042115,19.70273407042115,19.70273407042115,24.687611623852916,24.687611623852916,24.687611623852916,23.501608287488846,23.501608287488846,23.501608287488846,22.159113916150204,22.159113916150204,22.159113916150204,22.66913344308677,22.66913344308677,22.66913344308677,24.16080067325042,24.16080067325042,24.16080067325042
8,22.1599411028848,22.1599411028848,22.1599411028848,20.592875302339493,20.592875302339493,20.592875302339493,22.973018308421203,22.973018308421203,22.973018308421203,22.587782744277703,22.587782744277703,22.587782744277703,20.992718753110523,20.992718753110523,20.992718753110523,23.900929562031887,23.900929562031887,23.900929562031887,20.48114336233435,20.48114336233435,20.48114336233435,20.946512166470704,20.946512166470704,20.946512166470704,22.824752396364197,22.824752396364197,22.824752396364197,21.297494151511223,21.297494151511223,21.297494151511223
9,20.758032178722985,20.758032178722985,20.758032178722985,20.51892992863423,20.51892992863423,20.51892992863423,19.503113544151855,19.503113544151855,19.503113544151855,23.696896431397747,23.696896431397747,23.696896431397747,21.21140887460309,21.21140887460309,21.21140887460309,21.04416439926063,21.04416439926063,21.04416439926063,24.43746297878247,24.43746297878247,24.43746297878247,22.590855078576503,22.590855078576503,22.590855078576503,20.887965167403514,20.887965167403514,20.887965167403514,20.202323245587188,20.202323245587188,20.202323245587188
10,23.018457603657296,23.018457603657296,23.018457603657296,21.192600870286093,21.192600870286093,21.192600870286093,20.41434627294381,20.41434627294381,20.41434627294381,19.644298908242988,19.644298908242988,19.644298908242988,19.911356719638242,19.911356719638242,19.911356719638242,20.78782781611995,20.78782781611995,20.78782781611995,20.53463542989592,20.53463542989592,20.53463542989592,20.46451448392437,20.46451448392437,20.46451448392437,21.298895655877004,21.298895655877004,21.298895655877004,19.979906542750417,19.979906542750417,19.979906542750417
11,19.8869154916432,19.8869154916432,19.8869154916432,19.823242381064688,19.823242381064688,19.823242381064688,21.333641864656435,21.333641864656435,21.333641864656435,20.709720139346125,20.709720139346125,20.709720139346125,19.595038212247946,19.595038212247946,19.595038212247946,19.181809671641993,19.181809671641993,19.181809671641993,21.139096569956514,21.139096569956514,21.139096569956514,22.244491466469746,22.244491466469746,22.244491466469746,21.938288277786736,21.938288277786736,21.938288277786736,19.802633388283823,19.802633388283823,19.802633388283823
