"Step","ruby-donkey-21 - FID Score","ruby-donkey-21 - FID Score__MIN","ruby-donkey-21 - FID Score__MAX","misunderstood-plant-20 - FID Score","misunderstood-plant-20 - FID Score__MIN","misunderstood-plant-20 - FID Score__MAX","fresh-morning-19 - FID Score","fresh-morning-19 - FID Score__MIN","fresh-morning-19 - FID Score__MAX","sunny-grass-18 - FID Score","sunny-grass-18 - FID Score__MIN","sunny-grass-18 - FID Score__MAX","lemon-grass-17 - FID Score","lemon-grass-17 - FID Score__MIN","lemon-grass-17 - FID Score__MAX","wandering-hill-16 - FID Score","wandering-hill-16 - FID Score__MIN","wandering-hill-16 - FID Score__MAX","swept-rain-15 - FID Score","swept-rain-15 - FID Score__MIN","swept-rain-15 - FID Score__MAX","cosmic-forest-14 - FID Score","cosmic-forest-14 - FID Score__MIN","cosmic-forest-14 - FID Score__MAX","misty-smoke-13 - FID Score","misty-smoke-13 - FID Score__MIN","misty-smoke-13 - FID Score__MAX","earnest-plant-12 - FID Score","earnest-plant-12 - FID Score__MIN","earnest-plant-12 - FID Score__MAX"
"0","36.542103486176494","36.542103486176494","36.542103486176494","56.61970382625552","56.61970382625552","56.61970382625552","58.77897326669419","58.77897326669419","58.77897326669419","138.76771315235138","138.76771315235138","138.76771315235138","44.4264470971075","44.4264470971075","44.4264470971075","44.86169498613304","44.86169498613304","44.86169498613304","47.29032878525188","47.29032878525188","47.29032878525188","92.208103920593","92.208103920593","92.208103920593","55.10816374415282","55.10816374415282","55.10816374415282","48.754686888316776","48.754686888316776","48.754686888316776"
"1","21.303996803637766","21.303996803637766","21.303996803637766","20.44550017709377","20.44550017709377","20.44550017709377","19.25516824528581","19.25516824528581","19.25516824528581","74.52651160855407","74.52651160855407","74.52651160855407","18.806246483865962","18.806246483865962","18.806246483865962","19.75435974891063","19.75435974891063","19.75435974891063","19.49298636526442","19.49298636526442","19.49298636526442","63.614568129290134","63.614568129290134","63.614568129290134","17.96180359541986","17.96180359541986","17.96180359541986","18.73739906295405","18.73739906295405","18.73739906295405"
"2","15.795849123112284","15.795849123112284","15.795849123112284","18.754296087071744","18.754296087071744","18.754296087071744","17.47801933479548","17.47801933479548","17.47801933479548","19.96305959661611","19.96305959661611","19.96305959661611","17.584281432490144","17.584281432490144","17.584281432490144","20.959218323392207","20.959218323392207","20.959218323392207","19.36811859050636","19.36811859050636","19.36811859050636","18.784778162454117","18.784778162454117","18.784778162454117","16.669989652043558","16.669989652043558","16.669989652043558","17.529612660149414","17.529612660149414","17.529612660149414"
"3","17.194649427963697","17.194649427963697","17.194649427963697","16.56982636104376","16.56982636104376","16.56982636104376","18.331951562450815","18.331951562450815","18.331951562450815","17.54216272455351","17.54216272455351","17.54216272455351","16.56343608385191","16.56343608385191","16.56343608385191","17.445679855478133","17.445679855478133","17.445679855478133","15.87750178378263","15.87750178378263","15.87750178378263","16.218759904087285","16.218759904087285","16.218759904087285","16.20151995863743","16.20151995863743","16.20151995863743","16.722447192092787","16.722447192092787","16.722447192092787"
"4","16.17835180627938","16.17835180627938","16.17835180627938","15.875232618493747","15.875232618493747","15.875232618493747","15.221390151102543","15.221390151102543","15.221390151102543","15.649799100252125","15.649799100252125","15.649799100252125","16.87696689366029","16.87696689366029","16.87696689366029","16.724531443484317","16.724531443484317","16.724531443484317","15.839021401092497","15.839021401092497","15.839021401092497","16.62429866946698","16.62429866946698","16.62429866946698","16.073618324119884","16.073618324119884","16.073618324119884","16.147160030912836","16.147160030912836","16.147160030912836"
"5","17.002189656155686","17.002189656155686","17.002189656155686","15.88591424367149","15.88591424367149","15.88591424367149","15.450576617335482","15.450576617335482","15.450576617335482","16.568652390839453","16.568652390839453","16.568652390839453","15.371586806022076","15.371586806022076","15.371586806022076","15.47752678433183","15.47752678433183","15.47752678433183","15.194470232837073","15.194470232837073","15.194470232837073","17.468474892473107","17.468474892473107","17.468474892473107","15.424195939288023","15.424195939288023","15.424195939288023","16.813894409453564","16.813894409453564","16.813894409453564"
"6","16.103390317814306","16.103390317814306","16.103390317814306","16.366546887088752","16.366546887088752","16.366546887088752","14.833059765830498","14.833059765830498","14.833059765830498","16.466639938199478","16.466639938199478","16.466639938199478","15.2788798570547","15.2788798570547","15.2788798570547","16.2437250855115","16.2437250855115","16.2437250855115","15.591691169610959","15.591691169610959","15.591691169610959","16.454173288826958","16.454173288826958","16.454173288826958","15.456531857798273","15.456531857798273","15.456531857798273","15.969971930546595","15.969971930546595","15.969971930546595"
"7","14.356849451741237","14.356849451741237","14.356849451741237","16.04044167607555","16.04044167607555","16.04044167607555","15.20395578686788","15.20395578686788","15.20395578686788","16.236283182961344","16.236283182961344","16.236283182961344","16.24606240351131","16.24606240351131","16.24606240351131","15.170300977865313","15.170300977865313","15.170300977865313","17.107494009944784","17.107494009944784","17.107494009944784","15.100739839001996","15.100739839001996","15.100739839001996","15.667210569424434","15.667210569424434","15.667210569424434","16.65015557490706","16.65015557490706","16.65015557490706"
"8","16.325935217453583","16.325935217453583","16.325935217453583","14.812762297322946","14.812762297322946","14.812762297322946","14.692384722476547","14.692384722476547","14.692384722476547","15.03507431848643","15.03507431848643","15.03507431848643","14.981710639615718","14.981710639615718","14.981710639615718","17.336234884283886","17.336234884283886","17.336234884283886","15.089592770728778","15.089592770728778","15.089592770728778","14.280685697842301","14.280685697842301","14.280685697842301","16.537323602176134","16.537323602176134","16.537323602176134","16.173688530348244","16.173688530348244","16.173688530348244"
"9","14.814397716875153","14.814397716875153","14.814397716875153","15.618268536569843","15.618268536569843","15.618268536569843","14.220271649008701","14.220271649008701","14.220271649008701","15.322943797433316","15.322943797433316","15.322943797433316","15.845290013141012","15.845290013141012","15.845290013141012","15.16074989904987","15.16074989904987","15.16074989904987","15.172590777408557","15.172590777408557","15.172590777408557","15.039029036729431","15.039029036729431","15.039029036729431","16.02245302263095","16.02245302263095","16.02245302263095","15.204703365264203","15.204703365264203","15.204703365264203"
