Step,spring-planet-92 - FID Score,spring-planet-92 - FID Score__MIN,spring-planet-92 - FID Score__MAX,drawn-deluge-91 - FID Score,drawn-deluge-91 - FID Score__MIN,drawn-deluge-91 - FID Score__MAX,distinctive-snowflake-90 - FID Score,distinctive-snowflake-90 - FID Score__MIN,distinctive-snowflake-90 - FID Score__MAX,crimson-silence-89 - FID Score,crimson-silence-89 - FID Score__MIN,crimson-silence-89 - FID Score__MAX,golden-music-88 - FID Score,golden-music-88 - FID Score__MIN,golden-music-88 - FID Score__MAX,logical-leaf-87 - FID Score,logical-leaf-87 - FID Score__MIN,logical-leaf-87 - FID Score__MAX,dazzling-dew-86 - FID Score,dazzling-dew-86 - FID Score__MIN,dazzling-dew-86 - FID Score__MAX,azure-morning-85 - FID Score,azure-morning-85 - FID Score__MIN,azure-morning-85 - FID Score__MAX,polished-wood-84 - FID Score,polished-wood-84 - FID Score__MIN,polished-wood-84 - FID Score__MAX,efficient-snow-83 - FID Score,efficient-snow-83 - FID Score__MIN,efficient-snow-83 - FID Score__MAX
0,109.76429074287508,109.76429074287508,109.76429074287508,54.21017562789298,54.21017562789298,54.21017562789298,74.4655734827468,74.4655734827468,74.4655734827468,60.28014935620883,60.28014935620883,60.28014935620883,101.84600197808456,101.84600197808456,101.84600197808456,60.41847182616287,60.41847182616287,60.41847182616287,130.68567225913995,130.68567225913995,130.68567225913995,116.45505427470466,116.45505427470466,116.45505427470466,33.17449369047492,33.17449369047492,33.17449369047492,71.50943270762679,71.50943270762679,71.50943270762679
1,25.628250080617782,25.628250080617782,25.628250080617782,32.97314472704691,32.97314472704691,32.97314472704691,37.38129558383315,37.38129558383315,37.38129558383315,22.40811839554342,22.40811839554342,22.40811839554342,33.644707584906186,33.644707584906186,33.644707584906186,18.84967513744831,18.84967513744831,18.84967513744831,39.82227909677876,39.82227909677876,39.82227909677876,34.18078393493584,34.18078393493584,34.18078393493584,20.875914355766547,20.875914355766547,20.875914355766547,35.04226979484132,35.04226979484132,35.04226979484132
2,17.37031137758229,17.37031137758229,17.37031137758229,19.021088582096503,19.021088582096503,19.021088582096503,24.472278447670867,24.472278447670867,24.472278447670867,20.417425023598156,20.417425023598156,20.417425023598156,23.616767620222188,23.616767620222188,23.616767620222188,19.401494450230558,19.401494450230558,19.401494450230558,27.125405276841814,27.125405276841814,27.125405276841814,22.403760941226665,22.403760941226665,22.403760941226665,17.944712644969044,17.944712644969044,17.944712644969044,22.488719899239953,22.488719899239953,22.488719899239953
3,16.022676199322625,16.022676199322625,16.022676199322625,17.58052854083709,17.58052854083709,17.58052854083709,19.587072009717744,19.587072009717744,19.587072009717744,19.368662426380226,19.368662426380226,19.368662426380226,19.968967585422618,19.968967585422618,19.968967585422618,17.756757316140828,17.756757316140828,17.756757316140828,19.45429279837856,19.45429279837856,19.45429279837856,20.153821585614445,20.153821585614445,20.153821585614445,18.42865694679612,18.42865694679612,18.42865694679612,18.587981136916326,18.587981136916326,18.587981136916326
4,17.62515505076351,17.62515505076351,17.62515505076351,16.86139946935661,16.86139946935661,16.86139946935661,18.648543044588486,18.648543044588486,18.648543044588486,16.15888917317106,16.15888917317106,16.15888917317106,15.406938831550852,15.406938831550852,15.406938831550852,18.44228358266468,18.44228358266468,18.44228358266468,18.737352505273396,18.737352505273396,18.737352505273396,16.884507851963335,16.884507851963335,16.884507851963335,17.005485552228752,17.005485552228752,17.005485552228752,17.98896300945846,17.98896300945846,17.98896300945846
5,16.613285692233177,16.613285692233177,16.613285692233177,14.687506466395643,14.687506466395643,14.687506466395643,15.291534031171084,15.291534031171084,15.291534031171084,16.880876480720836,16.880876480720836,16.880876480720836,14.54493248161981,14.54493248161981,14.54493248161981,16.689925534572758,16.689925534572758,16.689925534572758,16.364102878255135,16.364102878255135,16.364102878255135,16.196901297143974,16.196901297143974,16.196901297143974,16.514783924643844,16.514783924643844,16.514783924643844,16.58746454079921,16.58746454079921,16.58746454079921
6,14.98339359687892,14.98339359687892,14.98339359687892,15.742144425999413,15.742144425999413,15.742144425999413,17.021486153860756,17.021486153860756,17.021486153860756,15.902567695187713,15.902567695187713,15.902567695187713,15.533416327994262,15.533416327994262,15.533416327994262,17.305470779976478,17.305470779976478,17.305470779976478,15.291355589941007,15.291355589941007,15.291355589941007,15.724626865182067,15.724626865182067,15.724626865182067,15.603323320934518,15.603323320934518,15.603323320934518,15.523927371779472,15.523927371779472,15.523927371779472
7,15.689696910967587,15.689696910967587,15.689696910967587,14.815459680136549,14.815459680136549,14.815459680136549,14.65143868632412,14.65143868632412,14.65143868632412,16.537679081679936,16.537679081679936,16.537679081679936,16.617275739722647,16.617275739722647,16.617275739722647,17.91514034652674,17.91514034652674,17.91514034652674,14.974158822478469,14.974158822478469,14.974158822478469,16.598614569027422,16.598614569027422,16.598614569027422,15.675138454596734,15.675138454596734,15.675138454596734,15.038209809625169,15.038209809625169,15.038209809625169
8,14.249388104708181,14.249388104708181,14.249388104708181,15.320961027956862,15.320961027956862,15.320961027956862,14.110311382181706,14.110311382181706,14.110311382181706,14.369748835250936,14.369748835250936,14.369748835250936,15.0186784580583,15.0186784580583,15.0186784580583,14.972836663707067,14.972836663707067,14.972836663707067,14.602126492589816,14.602126492589816,14.602126492589816,14.424440128686172,14.424440128686172,14.424440128686172,18.809254931902018,18.809254931902018,18.809254931902018,13.958978752010502,13.958978752010502,13.958978752010502
9,16.871391166847644,16.871391166847644,16.871391166847644,14.440836557490753,14.440836557490753,14.440836557490753,14.391751069588441,14.391751069588441,14.391751069588441,14.235388238913778,14.235388238913778,14.235388238913778,14.164042262938816,14.164042262938816,14.164042262938816,15.218338501324762,15.218338501324762,15.218338501324762,13.695895051276391,13.695895051276391,13.695895051276391,14.892599206434692,14.892599206434692,14.892599206434692,15.840896003323294,15.840896003323294,15.840896003323294,14.761088084774011,14.761088084774011,14.761088084774011
10,15.560466945411365,15.560466945411365,15.560466945411365,13.438577422375175,13.438577422375175,13.438577422375175,13.86174257849399,13.86174257849399,13.86174257849399,13.864173378098698,13.864173378098698,13.864173378098698,16.23234363054239,16.23234363054239,16.23234363054239,14.171815275643354,14.171815275643354,14.171815275643354,14.145760799787032,14.145760799787032,14.145760799787032,15.287789036631747,15.287789036631747,15.287789036631747,15.264189517591136,15.264189517591136,15.264189517591136,14.833976872929615,14.833976872929615,14.833976872929615
11,14.160705117769199,14.160705117769199,14.160705117769199,14.470380839462385,14.470380839462385,14.470380839462385,14.648444700880018,14.648444700880018,14.648444700880018,14.80451005931161,14.80451005931161,14.80451005931161,13.571306469958188,13.571306469958188,13.571306469958188,13.898198963804795,13.898198963804795,13.898198963804795,13.58089263992525,13.58089263992525,13.58089263992525,13.983478321905258,13.983478321905258,13.983478321905258,15.201580358028561,15.201580358028561,15.201580358028561,13.664606293245278,13.664606293245278,13.664606293245278
12,14.772496204753889,14.772496204753889,14.772496204753889,14.42114810119317,14.42114810119317,14.42114810119317,14.376089098359317,14.376089098359317,14.376089098359317,13.697924550041073,13.697924550041073,13.697924550041073,15.002786933662787,15.002786933662787,15.002786933662787,13.502983639531996,13.502983639531996,13.502983639531996,13.50191644244611,13.50191644244611,13.50191644244611,13.446782676711107,13.446782676711107,13.446782676711107,14.734455203554859,14.734455203554859,14.734455203554859,13.914443471460322,13.914443471460322,13.914443471460322
13,15.382738920502106,15.382738920502106,15.382738920502106,14.445997612134308,14.445997612134308,14.445997612134308,15.248220466612082,15.248220466612082,15.248220466612082,14.318865367107694,14.318865367107694,14.318865367107694,14.08858538218152,14.08858538218152,14.08858538218152,14.204710297313646,14.204710297313646,14.204710297313646,14.017020005487158,14.017020005487158,14.017020005487158,15.330071453615375,15.330071453615375,15.330071453615375,13.99564248236614,13.99564248236614,13.99564248236614,13.496188556137175,13.496188556137175,13.496188556137175
14,13.750694922832649,13.750694922832649,13.750694922832649,15.611694042668598,15.611694042668598,15.611694042668598,13.24498752935202,13.24498752935202,13.24498752935202,15.020678514135097,15.020678514135097,15.020678514135097,13.911047097103516,13.911047097103516,13.911047097103516,13.129682746988852,13.129682746988852,13.129682746988852,13.954362867530286,13.954362867530286,13.954362867530286,14.757957461485615,14.757957461485615,14.757957461485615,14.050284579911164,14.050284579911164,14.050284579911164,14.312028216422375,14.312028216422375,14.312028216422375
15,13.348828457576964,13.348828457576964,13.348828457576964,13.111582509759515,13.111582509759515,13.111582509759515,14.198487438513212,14.198487438513212,14.198487438513212,13.345121402924036,13.345121402924036,13.345121402924036,15.699851379322656,15.699851379322656,15.699851379322656,14.672229607467523,14.672229607467523,14.672229607467523,14.211616069431841,14.211616069431841,14.211616069431841,15.24809791326857,15.24809791326857,15.24809791326857,15.35248283294196,15.35248283294196,15.35248283294196,13.485577202902988,13.485577202902988,13.485577202902988
