Step,denim-morning-29 - FID Score,denim-morning-29 - FID Score__MIN,denim-morning-29 - FID Score__MAX,expert-terrain-28 - FID Score,expert-terrain-28 - FID Score__MIN,expert-terrain-28 - FID Score__MAX,sunny-thunder-27 - FID Score,sunny-thunder-27 - FID Score__MIN,sunny-thunder-27 - FID Score__MAX,misty-field-26 - FID Score,misty-field-26 - FID Score__MIN,misty-field-26 - FID Score__MAX,prime-totem-25 - FID Score,prime-totem-25 - FID Score__MIN,prime-totem-25 - FID Score__MAX,misunderstood-moon-24 - FID Score,misunderstood-moon-24 - FID Score__MIN,misunderstood-moon-24 - FID Score__MAX,misunderstood-tree-23 - FID Score,misunderstood-tree-23 - FID Score__MIN,misunderstood-tree-23 - FID Score__MAX,prime-music-22 - FID Score,prime-music-22 - FID Score__MIN,prime-music-22 - FID Score__MAX,legendary-surf-21 - FID Score,legendary-surf-21 - FID Score__MIN,legendary-surf-21 - FID Score__MAX,clean-sponge-20 - FID Score,clean-sponge-20 - FID Score__MIN,clean-sponge-20 - FID Score__MAX
0,464.27331864265557,464.27331864265557,464.27331864265557,490.8051738265261,490.8051738265261,490.8051738265261,605.427892549379,605.427892549379,605.427892549379,413.5981308639292,413.5981308639292,413.5981308639292,441.91298471941974,441.91298471941974,441.91298471941974,256.4555857765319,256.4555857765319,256.4555857765319,438.0780232874542,438.0780232874542,438.0780232874542,466.60345647201734,466.60345647201734,466.60345647201734,360.4503693350305,360.4503693350305,360.4503693350305,44.86705790773951,44.86705790773951,44.86705790773951
1,437.1251664105982,437.1251664105982,437.1251664105982,476.02090881837165,476.02090881837165,476.02090881837165,556.2886723145866,556.2886723145866,556.2886723145866,389.4169833680876,389.4169833680876,389.4169833680876,439.56989671916307,439.56989671916307,439.56989671916307,51.63788272274459,51.63788272274459,51.63788272274459,454.9029732698174,454.9029732698174,454.9029732698174,432.6734279993412,432.6734279993412,432.6734279993412,50.627952870962176,50.627952870962176,50.627952870962176,35.30323500102209,35.30323500102209,35.30323500102209
2,42.43031877142897,42.43031877142897,42.43031877142897,495.8824084143984,495.8824084143984,495.8824084143984,439.7557135031909,439.7557135031909,439.7557135031909,392.64945622516325,392.64945622516325,392.64945622516325,418.76237465516573,418.76237465516573,418.76237465516573,35.0121711628063,35.0121711628063,35.0121711628063,447.6188567602016,447.6188567602016,447.6188567602016,495.43820746449376,495.43820746449376,495.43820746449376,42.19337843525653,42.19337843525653,42.19337843525653,37.79811898484144,37.79811898484144,37.79811898484144
3,39.22419928503254,39.22419928503254,39.22419928503254,475.64112708584184,475.64112708584184,475.64112708584184,261.90092642746674,261.90092642746674,261.90092642746674,46.599911613317744,46.599911613317744,46.599911613317744,47.26625043667554,47.26625043667554,47.26625043667554,28.24033025128816,28.24033025128816,28.24033025128816,37.67557027470549,37.67557027470549,37.67557027470549,452.07439401164737,452.07439401164737,452.07439401164737,33.493582360769985,33.493582360769985,33.493582360769985,31.40698014462493,31.40698014462493,31.40698014462493
4,28.23495725621403,28.23495725621403,28.23495725621403,473.29466257447933,473.29466257447933,473.29466257447933,49.611753773365166,49.611753773365166,49.611753773365166,44.11162260384469,44.11162260384469,44.11162260384469,39.77763470130629,39.77763470130629,39.77763470130629,27.37675260843717,27.37675260843717,27.37675260843717,40.02495085190272,40.02495085190272,40.02495085190272,471.8295903373663,471.8295903373663,471.8295903373663,31.303164550009665,31.303164550009665,31.303164550009665,27.869342588149316,27.869342588149316,27.869342588149316
5,26.049639509492515,26.049639509492515,26.049639509492515,459.5417557997962,459.5417557997962,459.5417557997962,39.89687117115703,39.89687117115703,39.89687117115703,35.651181585165084,35.651181585165084,35.651181585165084,38.752039968733285,38.752039968733285,38.752039968733285,28.91528275237191,28.91528275237191,28.91528275237191,28.76343773269349,28.76343773269349,28.76343773269349,504.57944338492956,504.57944338492956,504.57944338492956,30.634289362739906,30.634289362739906,30.634289362739906,30.41296967984813,30.41296967984813,30.41296967984813
6,31.206358203266795,31.206358203266795,31.206358203266795,60.712842910894004,60.712842910894004,60.712842910894004,36.17350379418953,36.17350379418953,36.17350379418953,31.304147575737268,31.304147575737268,31.304147575737268,31.677317777553384,31.677317777553384,31.677317777553384,25.146294690340575,25.146294690340575,25.146294690340575,27.874199455534963,27.874199455534963,27.874199455534963,496.26202671431815,496.26202671431815,496.26202671431815,26.583463821739244,26.583463821739244,26.583463821739244,26.050213278607863,26.050213278607863,26.050213278607863
7,26.67824201250609,26.67824201250609,26.67824201250609,46.478644430263,46.478644430263,46.478644430263,33.386794194029555,33.386794194029555,33.386794194029555,33.92438692450257,33.92438692450257,33.92438692450257,37.52220448491798,37.52220448491798,37.52220448491798,26.560482124749498,26.560482124749498,26.560482124749498,30.56031577017093,30.56031577017093,30.56031577017093,495.91273841235005,495.91273841235005,495.91273841235005,29.121558914344924,29.121558914344924,29.121558914344924,25.076563511202117,25.076563511202117,25.076563511202117
8,25.855035837966852,25.855035837966852,25.855035837966852,43.669303688619266,43.669303688619266,43.669303688619266,37.780181750957766,37.780181750957766,37.780181750957766,34.17677771446522,34.17677771446522,34.17677771446522,32.31605520800788,32.31605520800788,32.31605520800788,27.398423452889855,27.398423452889855,27.398423452889855,26.627662291527393,26.627662291527393,26.627662291527393,474.8387963579679,474.8387963579679,474.8387963579679,33.2862369250554,33.2862369250554,33.2862369250554,29.66574640188022,29.66574640188022,29.66574640188022
9,25.955085488080876,25.955085488080876,25.955085488080876,46.51040022667336,46.51040022667336,46.51040022667336,33.69473131878778,33.69473131878778,33.69473131878778,34.18982538456285,34.18982538456285,34.18982538456285,29.031195635602604,29.031195635602604,29.031195635602604,28.133634832959995,28.133634832959995,28.133634832959995,27.234234116688597,27.234234116688597,27.234234116688597,446.6717577993008,446.6717577993008,446.6717577993008,28.288967895221173,28.288967895221173,28.288967895221173,29.08603727697217,29.08603727697217,29.08603727697217
